Périmètre;Titre;Genre / famille;Joueurs max;Type multijoueur;Déroulement;Affichage;Drop-in;Multitap;Année;Région;Développeur;Éditeur;Validation;Confiance;Remarques;Source FE-Metadata;Source OpenVGDB / référence
Base principale (275);3 Ninjas Kick Back;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Non documenté;Non documenté;Jun1;USA;Malibu;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586003-3-ninjas-kick-back
Base principale (275);Alien Storm;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Partiel / entre séquences;Non documenté;1991;World;Sega;;Confirmé FE-Metadata;Élevée;Rejoindre possible seulement à certains moments;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586020-alien-storm
Base principale (275);Altered Beast;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Partiel / entre séquences;Non documenté;Aug ;USA, Europe;Sega;;Confirmé FE-Metadata;Élevée;Rejoindre possible seulement à certains moments;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586022-altered-beast
Base principale (275);Arcus Odyssey;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Non documenté;Non documenté;1991;USA;Wolf Team;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586030-arcus-odyssey
Base principale (275);Battle Squadron;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Non documenté;Non documenté;1990;USA, Europe;Innerprise Software;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586051-battle-squadron
Base principale (275);BattleTech: A Game of Armored Combat;Action / coopération / arcade;2;Coop/versus à confirmer;À confirmer;Même écran;Non documenté;Non documenté;1994;USA;Malibu;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586052-battletech
Base principale (275);Battletoads;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Non documenté;Non documenté;1991;World;Arc System Works;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586053-battletoads
Base principale (275);Battletoads / Double Dragon;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Non documenté;Non documenté;Feb ;USA;Rare Ltd.;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586054-battletoads-double-dragon
Base principale (275);Bio-Hazard Battle;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Non documenté;Non documenté;1992;USA;Sega;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586065-bio-hazard-battle
Base principale (275);Blades of Vengeance;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Non documenté;Non documenté;1993;USA, Europe;Beam Software;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586066-blades-of-vengeance
Base principale (275);Bloodshot;Action / coopération / arcade;2;Coop/versus à confirmer;À confirmer;Écran partagé;Non documenté;Non documenté;1994;Europe;Domark;;Confirmé par description OpenVGDB;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/576362-bloodshot
Base principale (275);Body Count;Action / coopération / arcade;2;Coop/versus à confirmer;À confirmer;Même écran;Non documenté;Non documenté;Canc;Europe;Probe Entertainment Limited;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/576363-body-count
Base principale (275);Bonanza Bros.;Action / coopération / arcade;2;Coopératif;Simultané;Même écran;Non documenté;Non documenté;May ;Japan, Europe;ITL;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586069-bonanza-bros
